2010,45,19,Louisiana,0.3898,0.3998,0.3679,3438247,0.0286,39445,42599,26202,95145,68285,3244896,1264994,1297150,,,

2010,2,20,Maine,0.5515,,0.5426,1055605,0.0162,0,0,0,0,21362,1038516,572766,580538,,,

2010,52,21,Maryland,0.4648,,0.4175,4449617,0.0892,22645,26164,13195,55407,77074,3997423,1857880,,,,

2010,3,22,Massachusetts,0.4917,0.4966,0.4458,5152976,0.0913,11312,0,0,11312,77830,4671448,2297039,2319963,,,

2010,23,23,Michigan,0.4450,0.4508,0.4270,7555742,0.0347,44113,0,0,44113,163673,7249631,3226088,3268217,,,

2010,33,24,Minnesota,0.5538,0.5581,0.5214,4041199,0.0448,9796,42661,5807,55361,70063,3804746,2107021,2123369,,,

2010,46,25,Mississippi,0.3698,,0.3552,2220094,0.0166,21067,26793,6434,51077,45082,2132203,788549,,,,

2010,34,26,Missouri,0.4450,,0.4243,4581260,0.0257,30623,54916,19421,95250,96710,4368447,1943899,,,,

2010,64,27,Montana,0.4745,0.4834,0.4676,770601,0.0097,3716,0,0,3716,22898,759406,360341,367096,,,

2010,35,28,Nebraska,0.3729,0.3800,0.3549,1375023,0.0416,4587,4080,941,9138,27311,1308629,487988,497248,,,

2010,65,29,Nevada,0.4110,0.4122,0.3525,2046400,0.1309,12653,8067,4964,23202,45656,1755237,721404,723515,,,

2010,4,30,New Hampshire,0.4562,0.4610,0.4420,1033023,0.0284,2761,0,0,2761,25558,1000922,456588,461423,,,

2010,12,31,New Jersey,0.3643,0.3780,0.3143,6750869,0.1240,25007,57517,15563,90306,110559,5823268,2121584,2200974,,,

2010,66,32,New Mexico,0.4279,0.4313,0.3884,1552212,0.0774,6659,14855,3146,23087,31444,1408950,602827,607700,,,

2010,13,33,New York,0.3550,0.3625,0.3083,15111583,0.1263,56656,0,48542,80927,263787,13121437,4658586,4756679,,,

2010,47,34,North Carolina,0.3920,0.3980,0.3639,7310093,0.0611,40116,36740,3621,78667,133483,6785122,2660079,2700383,,,

2010,36,35,North Dakota,0.4617,0.4657,0.4527,527497,0.0165,1487,0,0,1487,11179,517285,238812,240876,,,

2010,24,36,Ohio,0.4497,0.4618,0.4364,8826908,0.0237,51712,0,0,51712,174703,8566254,3852453,3956028,,,

2010,53,37,Oklahoma,0.3877,,0.3645,2839030,0.0428,26252,20601,2627,48167,57046,2669244,1034767,,,,

2010,72,38,Oregon,0.5264,0.5386,0.4870,2984806,0.0702,14014,0,0,14014,63480,2761308,1453548,1487210,,,

2010,14,39,Pennsylvania,0.4169,,0.4009,9946290,0.0332,51264,0,0,51264,203791,9564983,3987551,,,,

2010,5,40,Rhode Island,0.4490,,0.4124,829913,0.0773,3357,0,0,3357,13827,762392,342290,,,,

2010,48,41,South Carolina,0.3970,0.4033,0.3764,3571250,0.0385,23578,21144,6412,47928,72241,3385906,1344198,1365480,,,

2010,37,42,South Dakota,0.5279,0.5384,0.5147,616113,0.0172,3434,0,2843,4856,20144,600669,317083,323410,,,

2010,54,43,Tennessee,0.3464,,0.3283,4878724,0.0349,27451,52178,12157,85708,127930,4622929,1601549,,,,

2010,49,44,Texas,0.3216,,0.2694,18487369,0.1369,173649,247136,104763,473167,549216,15482597,4979870,,,,

2010,67,45,Utah,0.3618,0.3674,0.3359,1914974,0.0680,6807,0,0,6807,31783,1778042,643307,653274,,,

2010,6,46,Vermont,0.4941,0.4983,0.4849,498254,0.0187,0,0,0,0,10546,488933,241605,243617,,,

2010,40,47,Virginia,0.3875,0.3919,0.3535,6194717,0.0724,37410,56654,2624,95376,124689,5650683,2189841,2214503,,,

2010,73,48,Washington,0.5312,0.5427,0.4838,5190736,0.0821,18235,15452,6956,37165,138296,4727602,2511094,2565589,,,

2010,56,49,West Virginia,0.3672,,0.3608,1468812,0.0077,6681,6650,1796,14229,33788,1443232,529948,,,,

2010,25,50,Wisconsin,0.5201,,0.4974,4365214,0.0310,22724,22602,19572,55112,78721,4174664,2171331,,,,

2010,68,51,Wyoming,0.4515,0.4572,0.4376,430673,0.0177,2112,3231,682,5684,13832,417384,188463,190822,,,

